City,Cloudiness(%),Humidity(%),Latitude,Longitude,Temperature(F),Wind Speed(mph),Initial Cluster,Cluster
hobyo,43,80,5.35,48.53,79.09,15.5,9,1
kharp,88,98,66.8,65.81,18.01,2.01,3,9
kuala sungai baru,20,88,2.36,102.04,78.55,3.36,1,3
kermanshah,75,18,34.31,47.06,59.0,18.34,0,5
karachi,0,48,24.91,67.08,60.8,5.82,5,4
klaebu,20,58,63.3,10.48,25.84,16.11,8,8
jalu,0,81,29.03,21.55,56.03,9.82,1,3
la rioja,85,86,42.25,-2.5,41.0,8.05,7,6
kodinsk,95,95,58.69,99.18,29.46,6.62,7,6
grand-lahou,100,80,5.14,-5.02,83.39,11.77,2,2
vostok,40,86,46.49,135.88,12.96,5.57,8,8
colares,20,87,38.8,-9.45,54.73,9.17,1,3
